#At time x allocated y bytes for process z from i to j
At time 1 allocated 250 bytes for process 1 from 0 to 256
At time 1 allocated 100 bytes for process 2 from 256 to 384
At time 2 allocated 163 bytes for process 3 from 512 to 768
At time 3 allocated 100 bytes for process 4 from 384 to 512
At time 5 allocated 254 bytes for process 5 from 768 to 1024
At time 6 freed 250 bytes from process 1 from 0 to 256
At time 9 freed 100 bytes from process 2 from 256 to 384
At time 14 freed 100 bytes from process 4 from 384 to 512
At time 24 freed 163 bytes from process 3 from 512 to 768
At time 32 freed 254 bytes from process 5 from 768 to 1024
