#At time x process y state arr w total z remain y wait k
At time 2 process 1 starting arr 2 total 7 remain 7 wait 0
At time 3 process 1 Stoped arr 2 total 7 remain 6 wait 0
At time 3 process 1 Resumed arr 2 total 7 remain 6 wait 0
At time 4 process 1 Stoped arr 2 total 7 remain 5 wait 0
At time 4 process 1 Resumed arr 2 total 7 remain 5 wait 0
At time 5 process 1 Stoped arr 2 total 7 remain 4 wait 0
At time 5 process 2 starting arr 4 total 5 remain 5 wait 1
At time 6 process 2 Stoped arr 4 total 5 remain 4 wait 1
At time 6 process 3 starting arr 5 total 7 remain 7 wait 1
At time 7 process 3 Stoped arr 5 total 7 remain 6 wait 1
At time 7 process 4 starting arr 6 total 6 remain 6 wait 1
At time 8 process 4 Stoped arr 6 total 6 remain 5 wait 1
At time 8 process 1 Resumed arr 2 total 7 remain 4 wait 3
At time 9 process 1 Stoped arr 2 total 7 remain 3 wait 3
At time 9 process 2 Resumed arr 4 total 5 remain 4 wait 4
At time 10 process 2 Stoped arr 4 total 5 remain 3 wait 4
At time 10 process 3 Resumed arr 5 total 7 remain 6 wait 4
At time 11 process 3 Stoped arr 5 total 7 remain 5 wait 4
At time 11 process 4 Resumed arr 6 total 6 remain 5 wait 4
At time 12 process 4 Stoped arr 6 total 6 remain 4 wait 4
At time 12 process 1 Resumed arr 2 total 7 remain 3 wait 6
At time 13 process 1 Stoped arr 2 total 7 remain 2 wait 6
At time 13 process 2 Resumed arr 4 total 5 remain 3 wait 7
At time 14 process 2 Stoped arr 4 total 5 remain 2 wait 7
At time 14 process 3 Resumed arr 5 total 7 remain 5 wait 7
At time 15 process 3 Stoped arr 5 total 7 remain 4 wait 7
At time 15 process 4 Resumed arr 6 total 6 remain 4 wait 7
At time 16 process 4 Stoped arr 6 total 6 remain 3 wait 7
At time 16 process 1 Resumed arr 2 total 7 remain 2 wait 9
At time 17 process 1 Stoped arr 2 total 7 remain 1 wait 9
At time 17 process 2 Resumed arr 4 total 5 remain 2 wait 10
At time 18 process 2 Stoped arr 4 total 5 remain 1 wait 10
At time 18 process 3 Resumed arr 5 total 7 remain 4 wait 10
At time 19 process 3 Stoped arr 5 total 7 remain 3 wait 10
At time 19 process 4 Resumed arr 6 total 6 remain 3 wait 10
At time 20 process 4 Stoped arr 6 total 6 remain 2 wait 10
At time 20 process 1 Resumed arr 2 total 7 remain 1 wait 12
At time 21 process 1 finished arr 2 total 7 remain 0 wait 12  TA 19  WTA 2.71
At time 21 process 2 Resumed arr 4 total 5 remain 1 wait 13
At time 22 process 2 finished arr 4 total 5 remain 0 wait 13  TA 18  WTA 3.60
At time 22 process 3 Resumed arr 5 total 7 remain 3 wait 13
At time 23 process 3 Stoped arr 5 total 7 remain 2 wait 13
At time 23 process 4 Resumed arr 6 total 6 remain 2 wait 13
At time 24 process 4 Stoped arr 6 total 6 remain 1 wait 13
At time 24 process 5 starting arr 14 total 5 remain 5 wait 10
At time 25 process 5 Stoped arr 14 total 5 remain 4 wait 10
At time 25 process 3 Resumed arr 5 total 7 remain 2 wait 15
At time 26 process 3 Stoped arr 5 total 7 remain 1 wait 15
At time 26 process 4 Resumed arr 6 total 6 remain 1 wait 15
At time 27 process 4 finished arr 6 total 6 remain 0 wait 15  TA 21  WTA 3.50
At time 27 process 5 Resumed arr 14 total 5 remain 4 wait 12
At time 28 process 5 Stoped arr 14 total 5 remain 3 wait 12
At time 28 process 3 Resumed arr 5 total 7 remain 1 wait 17
At time 29 process 3 finished arr 5 total 7 remain 0 wait 17  TA 24  WTA 3.43
At time 29 process 5 Resumed arr 14 total 5 remain 3 wait 13
At time 30 process 5 Stoped arr 14 total 5 remain 2 wait 13
At time 30 process 5 Resumed arr 14 total 5 remain 2 wait 13
At time 31 process 5 Stoped arr 14 total 5 remain 1 wait 13
At time 31 process 5 Resumed arr 14 total 5 remain 1 wait 13
At time 32 process 5 finished arr 14 total 5 remain 0 wait 13  TA 18  WTA 3.60
